household,age_band,category,monthly_yen,role,provenance_status
single,<=34,mobile,4738,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
single,<=34,energy,8291,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
single,<=34,food,46840,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
single,<=34,daily,2443,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
single,<=34,fun,7517,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
single,<=34,beautyFashion,11747,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
single,35-59,mobile,5596,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
single,35-59,energy,13299,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
single,35-59,food,51196,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
single,35-59,daily,2617,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
single,35-59,fun,5523,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
single,35-59,beautyFashion,9842,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
single,60+,mobile,3826,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
single,60+,energy,15380,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
single,60+,food,49387,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
single,60+,daily,2242,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
single,60+,fun,4274,frozen age-band base,VERIFIED_MODEL_LINEAGE__CELL_ADDRESS_ARCHIVE_OPTIONAL
